,year,month,intent,police,sex,age,race,other,place,education
1,2012,1,Suicide,0,M,34,Coloured,100,Home,BA+
2,2012,1,Suicide,0,F,21,White,100,Street,Some college
3,2012,1,Suicide,0,M,60,White,100,Other specified,BA+
4,2012,2,Suicide,0,M,64,White,100,Home,BA+
5,2012,2,Suicide,0,M,31,White,100,Other specified,Matric
6,2012,2,Suicide,0,M,17,Coloured,100,Home,Less than Matric
7,2012,2,Undetermined,0,M,48,White,100,Home,Matric
8,2012,3,Suicide,0,M,41,Coloured,100,Home,Matric
9,2012,2,Accidental,0,M,50,White,100,Other specified,Some college
10,2012,2,Suicide,0,M,NA,Black,998,Home,NA
11,2012,2,Suicide,0,M,30,White,100,Home,Some college
12,2012,1,Suicide,0,M,21,Coloured,100,Home,Matric
13,2012,3,Suicide,0,M,43,White,100,Home,Less than Matric
14,2012,3,Suicide,0,M,34,Coloured,100,Home,Matric
15,2012,3,Homicide,0,M,27,White,100,Home,Matric
16,2012,3,Suicide,0,M,27,Coloured,100,Home,Matric
17,2012,3,Suicide,0,M,55,White,100,Home,BA+
18,2012,3,Suicide,0,M,53,Coloured,100,Home,Matric
19,2012,3,Homicide,0,M,31,Coloured,100,Home,Some college
20,2012,4,Suicide,0,M,51,White,100,Home,Matric
21,2012,4,Suicide,0,M,65,Coloured,100,Home,Matric
22,2012,4,Suicide,0,F,52,White,100,Home,Matric
23,2012,4,Homicide,0,F,47,Black,100,Home,Matric
24,2012,4,Suicide,0,M,19,White,100,Home,Some college
25,2012,4,Homicide,0,M,51,White,100,Other specified,Matric
26,2012,4,Homicide,0,M,41,White,100,Other specified,Matric
27,2012,4,Suicide,0,M,22,Coloured,100,Other specified,Matric
28,2012,4,Suicide,0,M,21,White,100,Other specified,Matric
29,2012,4,Suicide,0,M,56,White,100,Home,Matric
30,2012,4,Homicide,0,M,43,White,100,Other specified,Matric
31,2012,4,Suicide,0,M,38,Coloured,100,Home,Matric
32,2012,4,Suicide,0,M,55,White,100,Home,BA+
33,2012,4,Suicide,0,M,22,Coloured,100,Home,NA
34,2012,5,Suicide,0,M,27,White,100,Home,Matric
35,2012,4,Homicide,0,F,25,White,100,Home,Matric
36,2012,4,Undetermined,0,M,26,White,100,Home,Matric
37,2012,5,Suicide,0,M,23,Coloured,100,Home,Less than Matric
38,2012,5,Suicide,0,M,48,Coloured,100,Home,NA
39,2012,5,Suicide,0,M,43,White,100,Home,Some college
40,2012,5,Suicide,0,M,53,White,100,Home,Some college
41,2012,5,Suicide,0,M,31,Coloured,100,Home,Matric
42,2012,6,Homicide,0,M,26,Coloured,100,Home,NA
43,2012,6,Suicide,0,M,87,White,100,Home,Less than Matric
44,2012,6,Suicide,0,M,38,Coloured,100,Home,Matric
45,2012,6,Suicide,0,M,17,Coloured,100,Home,Less than Matric
46,2012,6,Suicide,0,M,28,White,100,Home,Some college
47,2012,6,Suicide,0,M,39,White,100,Home,BA+
48,2012,7,Homicide,0,M,59,White,100,Home,Matric
49,2012,6,Homicide,0,M,28,Coloured,100,Home,Less than Matric
50,2012,6,Homicide,0,M,38,Coloured,100,Other specified,Some college
51,2012,7,Suicide,0,M,59,White,100,Home,Matric
52,2012,7,Suicide,0,M,26,White,100,Home,Some college
53,2012,6,Suicide,0,M,50,Coloured,100,Street,Less than Matric
54,2012,6,Undetermined,0,F,26,Coloured,100,Home,Less than Matric
55,2012,7,Suicide,0,M,21,White,100,Home,Matric
56,2012,7,Suicide,0,M,61,White,100,Other specified,BA+
57,2012,7,Accidental,0,M,12,Black,100,Home,Less than Matric
58,2012,7,Homicide,0,M,40,White,100,Home,Some college
59,2012,7,Suicide,0,M,57,White,100,Home,Matric
60,2012,7,Homicide,0,M,19,Black,100,Home,Matric
61,2012,7,Suicide,0,M,22,White,100,Home,Matric
62,2012,8,Homicide,1,M,28,White,100,NA,Matric
63,2012,8,Suicide,0,M,20,White,100,Home,Some college
64,2012,7,Suicide,0,F,50,White,100,Home,Matric
65,2012,7,Suicide,0,M,25,White,100,Home,Matric
66,2012,8,Suicide,0,M,34,White,100,Other specified,Matric
67,2012,8,Suicide,0,F,23,Coloured,100,Home,Some college
68,2012,8,Suicide,0,M,34,White,100,Other specified,BA+
69,2012,8,Suicide,0,M,60,White,100,Other specified,BA+
